#pedestal results (fit to a gaussian) remove channels/sca with two pedestals peaks from the analysis results_pedestal/gridpoints/Pedestal_dif_1_1_5.txtnew
#chip channel ped0 eped0 widthped0 ped1 eped1 widthped1... ped14 eped14 widhtped14 (all SCA)
0 49 309.882  0.0670726 3.18389 326.241  0.0794322 3.21534 305.84  0.0749935 3.11268 322.145  0.0827332 3.3026 307.503  0.0830027 3.32977 307.536  0.0828365 3.27354 309.98  0.0834407 3.12539 306.162  0.0873903 3.05923 309.936  0.0892313 3.15693 313.975  0.0866291 3.03779 313.31  0.0845668 2.83925 312.762  0.0938335 2.96726 315.003  0.0951999 3.06657 317.605  0.099698 2.97134 306.03  0.0932869 2.96805 
0 50 306.002  0.0634282 3.03282 327.207  0.0747816 2.79933 305.915  0.0730956 3.06961 319.467  0.0754642 2.93607 313.081  0.0759412 3.04382 312.662  0.0810747 3.05311 311.026  0.079439 3.02765 317.697  0.0841151 2.9797 318.274  0.0812949 2.77776 320.786  0.0852343 2.91398 312.198  0.0872993 2.91587 314.131  0.0940314 2.924 321.464  0.0919909 2.88192 320.056  0.097706 3.04139 311.417  0.0849671 2.9091 
0 51 308.736  0.0696095 3.24449 333.663  0.0829197 3.39461 306.444  0.0791827 3.25472 324.588  0.0857026 3.4245 319.127  0.0893469 3.43894 320.002  0.08677 3.26024 318.156  0.0882755 3.25323 306.164  0.0912406 3.26329 314.621  0.0922016 3.10836 313.446  0.0927889 3.09523 306.612  0.0987674 3.23154 310.41  0.100618 3.21984 317.497  0.10211 3.08904 326.932  0.109702 3.28807 318.003  0.100196 3.37241 
0 52 306.801  0.0668219 3.16897 328.661  0.0785229 3.18132 299.601  0.0780492 3.10035 319.813  0.0809464 3.26314 315.922  0.0839915 3.27589 309.87  0.084006 3.17966 317.961  0.0898172 3.19579 316.868  0.0891527 3.22171 308.672  0.091065 3.20045 314.197  0.0907344 3.13973 310.423  0.0944105 3.07707 316.927  0.0983394 3.16128 321.331  0.102066 3.17387 317.16  0.10795 3.20532 308.319  0.0924536 3.04066 
0 53 300.416  0.0654069 3.03713 319.323  0.0765191 3.02921 307.263  0.0767442 3.15538 319.279  0.081107 3.13217 311.371  0.0838375 3.25044 313.523  0.0831455 3.07957 313.487  0.0827752 3.03571 317.247  0.0862151 3.15894 313.53  0.0867432 3.04842 313.166  0.0883137 3.00089 305.236  0.0926462 3.01581 309.02  0.0956736 3.14705 310.865  0.097644 3.1215 308.743  0.10027 2.97094 306.175  0.0850708 2.89487 
0 54 307.493  0.0624171 2.89615 324.844  0.0767644 2.95732 306.621  0.073373 2.92875 319.31  0.0787541 3.2041 310.521  0.0817706 3.2164 318.013  0.0777663 2.82419 318.382  0.0783813 2.91593 315.352  0.0838053 3.00194 317.094  0.0848169 2.96126 317.711  0.0842487 2.8185 319.477  0.0861297 2.90845 320.828  0.0951037 2.96908 316.73  0.0918671 2.79539 319.56  0.0939667 2.85183 318.323  0.0877978 2.99991 
0 55 308.706  0.0662649 3.1495 317.14  0.0816722 3.29087 300.813  0.078569 3.19865 312.526  0.0825013 3.10073 309.99  0.0858002 3.31797 312.099  0.0865879 3.19851 318.981  0.0888382 3.25952 314.39  0.0881792 3.06483 308.087  0.0881762 3.10325 314.161  0.0864684 2.939 315.341  0.098382 3.22789 304.27  0.101756 3.28297 314.071  0.101059 3.13229 313.26  0.102097 3.01257 307.114  0.0933672 3.184 
0 56 310.114  0.0668207 3.12065 320.477  0.0829828 3.20657 301.221  0.0783227 3.1975 314.771  0.0824263 3.26408 312.439  0.0837737 3.35523 312.558  0.0876342 3.26714 318.903  0.089486 3.27515 321.942  0.0928078 3.30059 310.201  0.0879043 3.10854 315.27  0.0914452 3.16513 314.338  0.0984173 3.17312 319.902  0.0948543 3.09309 311.567  0.104194 3.32083 313.43  0.106488 3.10771 317.974  0.0921442 3.20051 
0 57 303.108  0.0650865 3.05842 328.437  0.08005 3.12313 305.444  0.0786737 3.31684 308.76  0.0786694 3.19268 314.931  0.0843003 3.1832 296.824  0.0877667 3.25764 313.228  0.082984 2.9942 301.42  0.0886322 3.09528 311.689  0.0893534 3.15855 311.002  0.0854799 3.00879 313.712  0.0957347 3.16758 313.703  0.0964982 3.15536 309.559  0.101497 3.25554 312.228  0.104452 3.14194 317.366  0.0932514 3.04937 
0 58 301.269  0.0680534 3.02246 317.761  0.0751075 2.99527 303.32  0.0755082 3.03948 307.291  0.0795485 3.19873 310.078  0.0811495 3.192 306.847  0.083302 3.01981 320.852  0.0820311 3.08358 310.023  0.082507 3.04932 300.784  0.0892296 3.05452 303.358  0.0929569 3.09694 314.113  0.0896183 3.0655 316.685  0.0971284 3.02733 313.341  0.100452 3.1833 311.648  0.0987443 2.94327 304.902  0.0919917 3.13595 
0 59 305.933  0.0656273 3.07052 325.468  0.0763694 3.04327 309.555  0.07354 2.95402 315.71  0.0793503 3.21587 307.743  0.0788586 3.13836 304.067  0.0856433 3.2627 314.555  0.0799168 2.8989 304.692  0.0862358 3.0339 311.624  0.091573 2.9569 313.294  0.0850512 2.91342 310.063  0.0933121 3.07831 315.468  0.0945296 2.98255 313.267  0.100339 3.07257 315.188  0.100649 2.94609 310.197  0.0903697 3.08721 
0 60 303.056  0.0675992 3.01301 323.109  0.0785279 3.03956 304.627  0.0775742 3.07785 308.266  0.0815903 3.23756 303.59  0.0826404 3.30762 308.636  0.0835524 3.08993 308.164  0.0832658 3.12974 307.993  0.0866769 3.12218 313.369  0.0864073 2.99592 312.75  0.0877042 2.99818 313.523  0.0895637 2.96139 310.231  0.0976516 3.14166 306.207  0.0974188 2.98898 312.01  0.102426 2.9465 310.127  0.0880819 3.11464 
